id,process_id,defect_code,defect_name,sort_order,status,created_at,updated_at
"1","1","KQD","KQD","1","active","2026-07-20 01:57:43","2026-07-22 03:27:46"
"2","1","VO_CAO_SU","Vỡ cao su","2","active","2026-07-20 01:57:43","2026-07-22 03:27:46"
"8","1","BAVIA","Bavia","6","active","2026-07-20 01:57:43","2026-07-22 03:27:46"
"9","2","ME","Mẻ cạnh","1","active","2026-07-20 01:57:43","2026-07-20 01:57:43"
"10","2","XUOC","Xước","2","active","2026-07-20 01:57:43","2026-07-20 01:57:43"
"11","2","SAI_KT","Sai kích thước","3","active","2026-07-20 01:57:43","2026-07-20 01:57:43"
"12","3","NGOAI_QUAN","Ngoại quan","1","active","2026-07-20 01:57:43","2026-07-20 01:57:43"
"13","3","THIEU_CT","Thiếu chi tiết","2","active","2026-07-20 01:57:43","2026-07-20 01:57:43"
"14","3","SAI_MAU","Sai màu","3","active","2026-07-20 01:57:43","2026-07-20 01:57:43"
"15","4","TEM","Tem sai","1","active","2026-07-20 01:57:43","2026-07-20 01:57:43"
"16","4","DONG_GOI","Đóng gói sai","2","active","2026-07-20 01:57:43","2026-07-20 01:57:43"
"17","4","THUNG","Thùng lỗi","3","active","2026-07-20 01:57:43","2026-07-20 01:57:43"
"30001","1","CAT_KHONG_DUT","Cắt không đứt","5","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30002","1","CSH","CSH","7","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30003","1","KT_LON","KT lớn","9","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30004","1","RACH_NVL","Rách NVL","13","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30005","1","KT_NHO","KT nhỏ","10","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30006","1","SOT_VIA","Sót via","15","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30007","1","K_XUOC_CONG_GAY","K xước cong gãy","3","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30008","1","CAT_LEM","Cắt lẹm","12","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30009","1","CAO_SU_XOAY","Cao su xoay","4","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30010","1","CHAN_NGAN_DAI","Chân ngắn dài","14","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30011","1","PPCM","PPCM","8","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30012","1","LCS","LCS","11","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
"30013","1","FURE_TRUC","Fure trục","16","active","2026-07-22 03:27:56","2026-07-22 03:27:56"
