id,job_type,job_key,work_date,report_month,process_id,status,attempts,max_attempts,next_retry_at,locked_at,last_error,result_url,completed_at,created_at,updated_at
"1","google_sheet","google_sheet:2026-07-16","2026-07-16","2026-07","","success","1","8","2026-07-20 01:57:51","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-20 02:17:27","2026-07-20 01:57:51","2026-07-20 02:17:27"
"2","google_sheet","google_sheet:2026-07-17","2026-07-17","2026-07","","success","1","8","2026-07-20 01:57:51","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-20 02:17:32","2026-07-20 01:57:51","2026-07-20 02:17:32"
"3","google_sheet","google_sheet:2026-07-18","2026-07-18","2026-07","","success","1","8","2026-07-20 01:57:51","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-20 02:17:35","2026-07-20 01:57:51","2026-07-20 02:17:35"
"4","google_sheet","google_sheet:2026-07-19","2026-07-19","2026-07","","success","1","8","2026-07-20 01:57:51","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-20 02:17:38","2026-07-20 01:57:51","2026-07-20 02:17:38"
"5","google_sheet","google_sheet:2026-07-20","2026-07-20","2026-07","","success","1","8","2026-07-20 01:57:51","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-20 02:17:41","2026-07-20 01:57:51","2026-07-20 02:17:41"
"6","monthly_excel","monthly_excel:2026-07","2026-07-20","2026-07","","success","1","8","2026-07-20 01:57:51","","","","2026-07-20 02:18:22","2026-07-20 01:57:51","2026-07-20 02:18:22"
"30001","google_sheet","2026-07-15","2026-07-15","","","success","1","8","2026-07-20 02:49:04","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-20 02:49:08","2026-07-20 02:21:39","2026-07-20 02:49:08"
"30002","monthly_excel","2026-07","","2026-07","","success","1","8","2026-07-24 07:08:37","","","","2026-07-24 07:08:54","2026-07-20 02:21:40","2026-07-24 07:08:54"
"30011","google_sheet","2026-07-14","2026-07-14","","","success","1","8","2026-07-20 06:03:07","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-20 06:03:13","2026-07-20 02:49:47","2026-07-20 06:03:13"
"30017","google_sheet","2026-07-20","2026-07-20","","","success","1","8","2026-07-20 05:09:10","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-20 05:58:27","2026-07-20 03:45:32","2026-07-20 05:58:27"
"120001","google_sheet","2026-07-13","2026-07-13","","","success","1","8","2026-07-21 05:06:44","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-21 08:07:52","2026-07-20 07:52:10","2026-07-21 08:07:52"
"150001","google_sheet","2026-07-21","2026-07-21","","","success","1","8","2026-07-22 01:37:54","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-22 01:38:27","2026-07-21 02:53:34","2026-07-22 01:38:27"
"210001","google_sheet","2026-07-12","2026-07-12","","","success","1","8","2026-07-21 05:06:40","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-21 05:06:58","2026-07-21 05:06:40","2026-07-21 05:06:58"
"210003","google_sheet","2026-07-11","2026-07-11","","","success","1","8","2026-07-21 05:06:40","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-21 05:07:01","2026-07-21 05:06:40","2026-07-21 05:07:01"
"330001","google_sheet","2026-07-22","2026-07-22","","","success","1","8","2026-07-22 10:03:32","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-22 10:03:58","2026-07-22 01:52:52","2026-07-22 10:03:58"
"420001","google_sheet","2026-07-23","2026-07-23","","","success","1","8","2026-07-24 07:08:37","","","https://docs.google.com/spreadsheets/d/1Ii-Mx128OiAsFcCoPKZr5bNYicaPehOfvPzqkShTCao","2026-07-24 07:09:11","2026-07-24 07:08:37","2026-07-24 07:09:11"
