id,process_id,machine_code,machine_name,status,created_at,updated_at,exclude_kqd_from_tt
"60001","1","c1","Máy c1","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60002","1","c2","Máy c2","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60003","1","c3","Máy c3","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60004","1","c4","Máy c4","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60005","1","c8","Máy c8","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60006","1","c9","Máy c9","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60007","1","c11","Máy c11","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60008","1","c12","Máy c12","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60009","1","c13","Máy c13","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60010","1","c5","Máy c5","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60011","1","c6","Máy c6","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60012","1","c7","Máy c7","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60013","1","1","Máy 1","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60014","1","2","Máy 2","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60015","1","3","Máy 3","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60016","1","4","Máy 4","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60017","1","5","Máy 5","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60018","1","6","Máy 6","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60019","1","7","Máy 7","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60020","1","8","Máy 8","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60021","1","9","Máy 9","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60022","1","10","Máy 10","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60023","1","11","Máy 11","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60024","1","12","Máy 12","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60026","1","14","Máy 14","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60027","1","15","Máy 15","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60028","1","16","Máy 16","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60029","1","17","Máy 17","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60030","1","18","Máy 18","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60031","1","19","Máy 19","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60032","1","20","Máy 20","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60033","1","21","Máy 21","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60034","1","QC","QC","active","2026-07-22 07:55:17","2026-07-22 08:13:49","0"
"60035","2","1","Máy 1","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60036","2","2","Máy 2","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60037","2","3","Máy 3","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60038","2","4","Máy 4","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60039","2","5","Máy 5","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60040","2","6","Máy 6","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60041","2","7","Máy 7","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60042","2","8","Máy 8","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60043","2","9","Máy 9","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60044","2","10","Máy 10","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60045","2","11","Máy 11","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60046","2","12","Máy 12","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60047","2","13","Máy 13","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60048","2","14","Máy 14","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60049","2","15","Máy 15","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60050","2","16","Máy 16","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60051","2","17","Máy 17","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60052","2","18","Máy 18","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60053","2","19","Máy 19","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60054","2","20","Máy 20","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
