id,report_id,deduction_type_id,hours,created_at
"1","2","1","0.500","2026-07-20 01:57:48"
"2","3","15","0.250","2026-07-20 01:57:48"
"3","5","15","0.500","2026-07-20 01:57:48"
"4","7","1","0.500","2026-07-20 01:57:48"
"5","8","19","0.250","2026-07-20 01:57:48"
"6","10","19","0.500","2026-07-20 01:57:48"
"7","12","15","0.500","2026-07-20 01:57:48"
"8","13","19","0.250","2026-07-20 01:57:48"
"9","15","19","0.500","2026-07-20 01:57:48"
"10","17","1","0.500","2026-07-20 01:57:48"
"11","18","22","0.250","2026-07-20 01:57:48"
"12","20","22","0.500","2026-07-20 01:57:48"
"13","22","19","0.500","2026-07-20 01:57:48"
"14","23","22","0.250","2026-07-20 01:57:48"
"15","25","22","0.500","2026-07-20 01:57:48"
"16","26","5","1.000","2026-07-20 02:06:05"
"17","26","10","1.000","2026-07-20 02:06:05"
"18","26","12","1.000","2026-07-20 02:06:05"
"30001","30002","1","0.250","2026-07-20 02:21:38"
"30002","30003","1","0.250","2026-07-20 02:36:03"
"30003","30004","15","0.250","2026-07-20 02:42:32"
"30004","30005","19","0.250","2026-07-20 02:45:41"
"30005","30006","1","0.250","2026-07-20 02:49:02"
"30006","30007","19","0.500","2026-07-20 02:49:46"
"30007","30008","22","0.500","2026-07-20 02:52:42"
"30008","30009","19","0.500","2026-07-20 03:23:19"
"30009","30010","4","0.500","2026-07-20 03:45:31"
"30010","30010","12","1.000","2026-07-20 03:45:31"
"60001","60002","10","1.000","2026-07-20 05:07:51"
"60002","60002","11","1.000","2026-07-20 05:07:51"
"60003","60002","12","1.000","2026-07-20 05:07:51"
"60004","60003","1","1.000","2026-07-20 05:09:09"
"60005","60003","5","1.000","2026-07-20 05:09:09"
"90001","90002","15","0.500","2026-07-20 05:58:18"
"90002","90003","22","0.500","2026-07-20 06:03:05"
"120001","150002","2","1.500","2026-07-21 02:53:33"
"120002","150002","5","1.000","2026-07-21 02:53:33"
"150001","210002","15","0.250","2026-07-21 05:06:17"
"150002","210003","1","0.500","2026-07-21 05:06:19"
"150003","210004","15","0.500","2026-07-21 05:06:20"
"150004","210006","22","0.250","2026-07-21 05:06:23"
"150005","210007","1","0.500","2026-07-21 05:06:25"
"150006","210008","19","0.500","2026-07-21 05:06:27"
"150007","210009","19","0.250","2026-07-21 05:06:28"
"150008","210011","1","0.500","2026-07-21 05:06:32"
"150009","210012","19","0.250","2026-07-21 05:06:33"
"150010","210013","22","0.250","2026-07-21 05:06:35"
"180001","240002","2","1.000","2026-07-21 08:07:24"
"180002","240002","10","1.000","2026-07-21 08:07:24"
"180003","240002","11","1.000","2026-07-21 08:07:24"
"210001","270002","1","1.000","2026-07-21 10:24:38"
"240001","300002","3","1.000","2026-07-22 01:37:52"
"240002","300002","7","1.000","2026-07-22 01:37:52"
"270001","330002","9","1.000","2026-07-22 01:52:51"
"270002","330002","11","1.000","2026-07-22 01:52:51"
"300001","360002","8","2.000","2026-07-22 02:45:43"
"300002","360002","13","1.000","2026-07-22 02:45:43"
"330001","390002","10","0.830","2026-07-22 10:03:24"
"330002","390002","13","0.170","2026-07-22 10:03:24"
"330003","390003","10","0.830","2026-07-22 10:03:26"
"330004","390003","13","0.170","2026-07-22 10:03:26"
"330005","390004","10","1.330","2026-07-22 10:03:27"
"330006","390004","13","0.170","2026-07-22 10:03:27"
"330007","390005","10","0.830","2026-07-22 10:03:29"
"330008","390005","13","0.170","2026-07-22 10:03:29"
"330009","390006","10","1.330","2026-07-22 10:03:31"
"330010","390006","13","0.170","2026-07-22 10:03:31"
"360001","420002","10","1.167","2026-07-24 07:08:29"
"360002","420002","12","1.333","2026-07-24 07:08:29"
"360003","420003","10","1.170","2026-07-24 07:08:30"
"360004","420003","13","0.170","2026-07-24 07:08:30"
"360005","420004","12","0.670","2026-07-24 07:08:32"
"360006","420004","13","0.170","2026-07-24 07:08:32"
"360007","420005","10","0.833","2026-07-24 07:08:34"
"360008","420005","12","0.500","2026-07-24 07:08:34"
"360009","420006","12","0.830","2026-07-24 07:08:35"
