id,report_id,defect_type_id,quantity,created_at
"1","1","9","7","2026-07-20 01:57:48"
"2","2","1","1","2026-07-20 01:57:48"
"3","3","9","2","2026-07-20 01:57:48"
"4","4","1","3","2026-07-20 01:57:48"
"5","5","9","4","2026-07-20 01:57:48"
"6","6","12","1","2026-07-20 01:57:48"
"7","7","1","2","2026-07-20 01:57:48"
"8","8","12","3","2026-07-20 01:57:48"
"9","9","1","4","2026-07-20 01:57:48"
"10","10","12","5","2026-07-20 01:57:48"
"11","11","12","2","2026-07-20 01:57:48"
"12","12","9","3","2026-07-20 01:57:48"
"13","13","12","4","2026-07-20 01:57:48"
"14","14","9","5","2026-07-20 01:57:48"
"15","15","12","6","2026-07-20 01:57:48"
"16","16","15","3","2026-07-20 01:57:48"
"17","17","1","4","2026-07-20 01:57:48"
"18","18","15","5","2026-07-20 01:57:48"
"19","19","1","6","2026-07-20 01:57:48"
"20","20","15","7","2026-07-20 01:57:48"
"21","21","15","4","2026-07-20 01:57:48"
"22","22","12","5","2026-07-20 01:57:48"
"23","23","15","6","2026-07-20 01:57:48"
"24","24","12","7","2026-07-20 01:57:48"
"25","25","15","1","2026-07-20 01:57:48"
"26","26","1","15","2026-07-20 02:06:04"
"30001","30002","1","6","2026-07-20 02:21:38"
"30002","30003","1","2","2026-07-20 02:36:03"
"30003","30004","9","1","2026-07-20 02:42:32"
"30004","30005","12","3","2026-07-20 02:45:40"
"30005","30006","1","7","2026-07-20 02:49:02"
"30006","30007","12","7","2026-07-20 02:49:45"
"30007","30008","15","1","2026-07-20 02:52:42"
"30008","30009","12","6","2026-07-20 03:23:19"
"90001","90002","9","5","2026-07-20 05:58:18"
"90002","90003","15","2","2026-07-20 06:03:05"
"120001","120002","1","4","2026-07-20 07:52:08"
"150001","150002","2","100","2026-07-21 02:53:32"
"180001","210002","9","3","2026-07-21 05:06:17"
"180002","210003","1","3","2026-07-21 05:06:18"
"180003","210004","9","4","2026-07-21 05:06:20"
"180004","210005","12","1","2026-07-21 05:06:22"
"180005","210006","15","7","2026-07-21 05:06:23"
"180006","210007","1","2","2026-07-21 05:06:25"
"180007","210008","12","6","2026-07-21 05:06:26"
"180008","210009","12","5","2026-07-21 05:06:28"
"180009","210010","9","6","2026-07-21 05:06:30"
"180010","210011","1","5","2026-07-21 05:06:32"
"180011","210012","12","4","2026-07-21 05:06:33"
"180012","210013","15","6","2026-07-21 05:06:35"
"180013","210014","1","7","2026-07-21 05:06:37"
"180014","210015","1","5","2026-07-21 05:06:38"
"210001","240002","2","1","2026-07-21 08:07:24"
"270001","330002","2","1","2026-07-22 01:52:50"
"300001","360002","2","3","2026-07-22 02:45:42"
"330001","390002","30009","24","2026-07-22 10:03:24"
"330002","390003","30009","40","2026-07-22 10:03:26"
"330003","390004","30009","12","2026-07-22 10:03:27"
"330004","390005","30009","18","2026-07-22 10:03:29"
"330005","390006","30009","8","2026-07-22 10:03:30"
"360001","420003","1","32","2026-07-24 07:08:30"
"360002","420004","1","154","2026-07-24 07:08:32"
"360003","420006","30009","216","2026-07-24 07:08:35"
