id,source_temp_id,worker_id,process_id,work_date,shift,machine_no,training_percent,product_name,standard_output,actual_output,total_time,actual_time,deduction_time,tt_ok,tt_ng,stop_reason,note,status,review_note,reviewed_by,approved_by,updated_by,approved_at,created_at,updated_at
"1","","1","2","2026-07-16","C","MAI-01","100.00","MAI-2556","1800.00","1785","8.000","8.000","0.000","1778","7","","Dữ liệu mẫu công nhân 1001, báo cáo 6","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-16 17:00:00","2026-07-16 16:30:00","2026-07-16 17:00:00"
"2","","1","1","2026-07-17","D","LONG-02","100.00","2801","605.00","549","8.000","7.500","0.500","548","1","","Dữ liệu mẫu công nhân 1001, báo cáo 7","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-17 17:00:00","2026-07-17 16:30:00","2026-07-17 17:00:00"
"3","","1","2","2026-07-18","A","MAI-01","100.00","MAI-2556","1800.00","1722","8.000","7.750","0.250","1720","2","","Dữ liệu mẫu công nhân 1001, báo cáo 8","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-18 17:00:00","2026-07-18 16:30:00","2026-07-18 17:00:00"
"4","","1","1","2026-07-19","B","CAT-02","100.00","C2556-11","6600.00","6576","8.000","8.000","0.000","6573","3","","Dữ liệu mẫu công nhân 1001, báo cáo 9","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-19 17:00:00","2026-07-19 16:30:00","2026-07-19 17:00:00"
"5","","1","2","2026-07-20","C","MAI-01","100.00","MAI-2556","1800.00","1660","8.000","7.500","0.500","1656","4","","Dữ liệu mẫu công nhân 1001, báo cáo 10","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-20 17:00:00","2026-07-20 16:30:00","2026-07-20 17:00:00"
"6","","2","3","2026-07-16","D","K1-02","90.00","K1-2821","2400.00","2145","8.000","8.000","0.000","2144","1","","Dữ liệu mẫu công nhân 1002, báo cáo 6","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-16 17:00:00","2026-07-16 16:30:00","2026-07-16 17:00:00"
"7","","2","1","2026-07-17","A","CAT-01","90.00","C2556-2","7200.00","6057","8.000","7.500","0.500","6055","2","","Dữ liệu mẫu công nhân 1002, báo cáo 7","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-17 17:00:00","2026-07-17 16:30:00","2026-07-17 17:00:00"
"8","","2","3","2026-07-18","B","K1-02","90.00","K1-2821","2400.00","2071","8.000","7.750","0.250","2068","3","","Dữ liệu mẫu công nhân 1002, báo cáo 8","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-18 17:00:00","2026-07-18 16:30:00","2026-07-18 17:00:00"
"9","","2","1","2026-07-19","C","LONG-01","90.00","9740","420.00","354","8.000","8.000","0.000","350","4","","Dữ liệu mẫu công nhân 1002, báo cáo 9","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-19 17:00:00","2026-07-19 16:30:00","2026-07-19 17:00:00"
"10","","2","3","2026-07-20","D","K1-02","90.00","K1-2821","2400.00","1998","8.000","7.500","0.500","1993","5","","Dữ liệu mẫu công nhân 1002, báo cáo 10","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-20 17:00:00","2026-07-20 16:30:00","2026-07-20 17:00:00"
"11","","3","3","2026-07-16","A","K1-01","80.00","K1-2556","3000.00","2385","8.000","8.000","0.000","2383","2","","Dữ liệu mẫu công nhân 1003, báo cáo 6","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-16 17:00:00","2026-07-16 16:30:00","2026-07-16 17:00:00"
"12","","3","2","2026-07-17","B","MAI-02","80.00","MAI-2821","1600.00","1182","8.000","7.500","0.500","1179","3","","Dữ liệu mẫu công nhân 1003, báo cáo 7","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-17 17:00:00","2026-07-17 16:30:00","2026-07-17 17:00:00"
"13","","3","3","2026-07-18","C","K1-01","80.00","K1-2556","3000.00","2304","8.000","7.750","0.250","2300","4","","Dữ liệu mẫu công nhân 1003, báo cáo 8","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-18 17:00:00","2026-07-18 16:30:00","2026-07-18 17:00:00"
