id,worker_id,process_id,work_date,shift,machine_no,training_percent,product_name,standard_output,actual_output,total_time,actual_time,deduction_time,tt_ok,tt_ng,stop_reason,note,client_request_id,status,review_note,reviewed_by,updated_by,approved_at,created_at,updated_at
"1","1","1","2026-07-11","B","CAT-02","100.00","C2556-11","6600.00","6187","8.000","7.500","0.500","6185","2","","Dữ liệu mẫu công nhân 1001, báo cáo 1","seed-1-01","approved","","2","","2026-07-21 05:06:26","2026-07-11 08:00:00","2026-07-21 05:06:26"
"2","1","2","2026-07-12","C","MAI-01","100.00","MAI-2556","1800.00","1740","8.000","7.750","0.250","1737","3","","Dữ liệu mẫu công nhân 1001, báo cáo 2","seed-1-02","approved","","2","","2026-07-21 05:06:18","2026-07-12 08:00:00","2026-07-21 05:06:18"
"3","1","1","2026-07-13","D","LONG-02","100.00","2801","605.00","599","8.000","8.000","0.000","595","4","","Dữ liệu mẫu công nhân 1001, báo cáo 3","seed-1-03","approved","","2","","2026-07-20 07:52:09","2026-07-13 08:00:00","2026-07-20 07:52:09"
"4","1","2","2026-07-14","A","MAI-01","100.00","MAI-2556","1800.00","1678","8.000","7.500","0.500","1673","5","","Dữ liệu mẫu công nhân 1001, báo cáo 4","seed-1-04","approved","","2","","2026-07-20 05:58:19","2026-07-14 08:00:00","2026-07-20 05:58:19"
"5","1","1","2026-07-15","B","CAT-02","100.00","C2556-11","6600.00","6381","8.000","7.750","0.250","6375","6","","Dữ liệu mẫu công nhân 1001, báo cáo 5","seed-1-05","approved","","2","","2026-07-20 02:21:39","2026-07-15 08:00:00","2026-07-20 02:21:39"
"6","2","1","2026-07-11","C","LONG-01","90.00","9740","420.00","354","8.000","7.500","0.500","351","3","","Dữ liệu mẫu công nhân 1002, báo cáo 1","seed-2-01","approved","","2","","2026-07-21 05:06:19","2026-07-11 08:00:00","2026-07-21 05:06:19"
"7","2","3","2026-07-12","D","K1-02","90.00","K1-2821","2400.00","2089","8.000","7.750","0.250","2085","4","","Dữ liệu mẫu công nhân 1002, báo cáo 2","seed-2-02","approved","","2","","2026-07-21 05:06:34","2026-07-12 08:00:00","2026-07-21 05:06:34"
"8","2","1","2026-07-13","A","CAT-01","90.00","C2556-2","7200.00","6474","8.000","8.000","0.000","6469","5","","Dữ liệu mẫu công nhân 1002, báo cáo 3","seed-2-03","approved","","2","","2026-07-21 05:06:39","2026-07-13 08:00:00","2026-07-21 05:06:39"
"9","2","3","2026-07-14","B","K1-02","90.00","K1-2821","2400.00","2016","8.000","7.500","0.500","2010","6","","Dữ liệu mẫu công nhân 1002, báo cáo 4","seed-2-04","approved","","2","","2026-07-20 03:23:20","2026-07-14 08:00:00","2026-07-20 03:23:20"
"10","2","1","2026-07-15","C","LONG-01","90.00","9740","420.00","354","8.000","7.750","0.250","347","7","","Dữ liệu mẫu công nhân 1002, báo cáo 5","seed-2-05","approved","","2","","2026-07-20 02:49:03","2026-07-15 08:00:00","2026-07-20 02:49:03"
"11","3","2","2026-07-11","D","MAI-02","80.00","MAI-2821","1600.00","1200","8.000","7.500","0.500","1196","4","","Dữ liệu mẫu công nhân 1003, báo cáo 1","seed-3-01","approved","","2","","2026-07-21 05:06:21","2026-07-11 08:00:00","2026-07-21 05:06:21"
"12","3","3","2026-07-12","A","K1-01","80.00","K1-2556","3000.00","2322","8.000","7.750","0.250","2317","5","","Dữ liệu mẫu công nhân 1003, báo cáo 2","seed-3-02","approved","","2","","2026-07-21 05:06:29","2026-07-12 08:00:00","2026-07-21 05:06:29"
"13","3","2","2026-07-13","B","MAI-02","80.00","MAI-2821","1600.00","1274","8.000","8.000","0.000","1268","6","","Dữ liệu mẫu công nhân 1003, báo cáo 3","seed-3-03","approved","","2","","2026-07-21 05:06:31","2026-07-13 08:00:00","2026-07-21 05:06:31"
"14","3","3","2026-07-14","C","K1-01","80.00","K1-2556","3000.00","2241","8.000","7.500","0.500","2234","7","","Dữ liệu mẫu công nhân 1003, báo cáo 4","seed-3-04","approved","","2","","2026-07-20 02:49:46","2026-07-14 08:00:00","2026-07-20 02:49:46"
