id,temp_report_id,deduction_type_id,hours,created_at
"1","1","1","0.500","2026-07-20 01:57:46"
"2","2","15","0.250","2026-07-20 01:57:46"
"3","4","15","0.500","2026-07-20 01:57:46"
"4","5","1","0.250","2026-07-20 01:57:46"
"5","6","1","0.500","2026-07-20 01:57:46"
"6","7","19","0.250","2026-07-20 01:57:46"
"7","9","19","0.500","2026-07-20 01:57:46"
"8","10","1","0.250","2026-07-20 01:57:46"
"9","11","15","0.500","2026-07-20 01:57:46"
"10","12","19","0.250","2026-07-20 01:57:46"
"11","14","19","0.500","2026-07-20 01:57:46"
"12","15","15","0.250","2026-07-20 01:57:46"
"13","16","1","0.500","2026-07-20 01:57:46"
"14","17","22","0.250","2026-07-20 01:57:46"
"15","19","22","0.500","2026-07-20 01:57:46"
"16","20","1","0.250","2026-07-20 01:57:46"
"17","21","19","0.500","2026-07-20 01:57:46"
"18","22","22","0.250","2026-07-20 01:57:46"
"19","24","22","0.500","2026-07-20 01:57:46"
"20","25","19","0.250","2026-07-20 01:57:46"
"21","26","5","1.000","2026-07-20 02:03:03"
"22","26","10","1.000","2026-07-20 02:03:03"
"23","26","12","1.000","2026-07-20 02:03:04"
"30001","30002","4","0.500","2026-07-20 03:45:01"
"30002","30002","12","1.000","2026-07-20 03:45:01"
"30003","30003","1","1.000","2026-07-20 03:56:23"
"30004","30003","5","1.000","2026-07-20 03:56:24"
"60001","60002","10","1.000","2026-07-20 05:07:20"
"60002","60002","11","1.000","2026-07-20 05:07:21"
"60003","60002","12","1.000","2026-07-20 05:07:21"
"90001","90002","2","1.500","2026-07-21 02:10:04"
"90002","90002","5","1.000","2026-07-21 02:10:04"
"120001","150002","2","1.000","2026-07-21 08:06:53"
"120002","150002","10","1.000","2026-07-21 08:06:54"
"120003","150002","11","1.000","2026-07-21 08:06:54"
"150001","180002","1","1.000","2026-07-21 10:08:48"
"180001","210002","3","1.000","2026-07-21 10:23:34"
"180002","210002","7","1.000","2026-07-21 10:23:34"
"210001","240002","9","1.000","2026-07-22 01:43:57"
"210002","240002","11","1.000","2026-07-22 01:43:58"
"240001","270002","8","2.000","2026-07-22 02:43:32"
"240002","270002","13","1.000","2026-07-22 02:43:32"
"270001","300002","13","1.000","2026-07-22 09:48:20"
"270002","300002","14","1.000","2026-07-22 09:48:21"
"270003","300003","10","0.830","2026-07-22 09:53:02"
"270004","300003","13","0.170","2026-07-22 09:53:02"
"270005","300004","10","0.830","2026-07-22 09:55:34"
"270006","300004","13","0.170","2026-07-22 09:55:34"
"270007","300005","10","0.830","2026-07-22 09:57:18"
"270008","300005","13","0.170","2026-07-22 09:57:18"
"270009","300006","10","1.330","2026-07-22 09:59:14"
"270010","300006","13","0.170","2026-07-22 09:59:14"
"270011","300007","10","1.330","2026-07-22 10:02:52"
"270012","300007","13","0.170","2026-07-22 10:02:53"
"300001","330002","3","0.500","2026-07-24 04:01:24"
"300002","330003","10","0.833","2026-07-24 06:27:11"
"300003","330003","12","0.500","2026-07-24 06:27:11"
"300004","330004","10","1.167","2026-07-24 06:32:18"
"300005","330004","12","1.333","2026-07-24 06:32:19"
"300007","330005","12","0.830","2026-07-24 06:41:16"
"300008","330006","12","0.670","2026-07-24 07:01:08"
"300009","330006","13","0.170","2026-07-24 07:01:08"
"300010","330007","10","1.170","2026-07-24 07:07:58"
"300011","330007","13","0.170","2026-07-24 07:07:59"
