id,temp_report_id,defect_type_id,quantity,created_at
"1","1","1","2","2026-07-20 01:57:45"
"2","2","9","3","2026-07-20 01:57:45"
"3","3","1","4","2026-07-20 01:57:45"
"4","4","9","5","2026-07-20 01:57:45"
"5","5","1","6","2026-07-20 01:57:45"
"6","6","1","3","2026-07-20 01:57:45"
"7","7","12","4","2026-07-20 01:57:45"
"8","8","1","5","2026-07-20 01:57:45"
"9","9","12","6","2026-07-20 01:57:45"
"10","10","1","7","2026-07-20 01:57:45"
"11","11","9","4","2026-07-20 01:57:45"
"12","12","12","5","2026-07-20 01:57:45"
"13","13","9","6","2026-07-20 01:57:45"
"14","14","12","7","2026-07-20 01:57:45"
"15","15","9","1","2026-07-20 01:57:45"
"16","16","1","5","2026-07-20 01:57:45"
"17","17","15","6","2026-07-20 01:57:45"
"18","18","1","7","2026-07-20 01:57:45"
"19","19","15","1","2026-07-20 01:57:45"
"20","20","1","2","2026-07-20 01:57:45"
"21","21","12","6","2026-07-20 01:57:45"
"22","22","15","7","2026-07-20 01:57:45"
"23","23","12","1","2026-07-20 01:57:45"
"24","24","15","2","2026-07-20 01:57:45"
"25","25","12","3","2026-07-20 01:57:45"
"26","26","1","15","2026-07-20 02:03:02"
"90001","90002","2","100","2026-07-21 02:10:03"
"120001","150002","2","1","2026-07-21 08:06:51"
"180001","240002","2","1","2026-07-22 01:43:56"
"210001","270002","2","3","2026-07-22 02:43:33"
"240001","300003","30009","18","2026-07-22 09:53:01"
"240002","300004","30009","24","2026-07-22 09:55:33"
"240003","300005","30009","40","2026-07-22 09:57:17"
"240004","300006","30009","12","2026-07-22 09:59:13"
"240005","300007","30009","8","2026-07-22 10:02:52"
"270001","330002","30007","11","2026-07-24 04:01:24"
"270002","330002","30009","25","2026-07-24 04:01:24"
"270003","330005","30009","216","2026-07-24 06:41:17"
"270004","330006","1","154","2026-07-24 07:01:07"
"270005","330007","1","32","2026-07-24 07:07:58"
