id,report_type,report_id,user_id,action,note,ip_address,user_agent,created_at
"1","temp","1","6","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"2","temp","2","6","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"3","temp","3","6","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"4","temp","4","6","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"5","temp","5","6","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"6","temp","6","7","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"7","temp","7","7","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"8","temp","8","7","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"9","temp","9","7","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"10","temp","10","7","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"11","temp","11","8","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"12","temp","12","8","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"13","temp","13","8","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"14","temp","14","8","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"15","temp","15","8","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"16","temp","16","9","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"17","temp","17","9","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"18","temp","18","9","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"19","temp","19","9","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"20","temp","20","9","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"21","temp","21","10","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"22","temp","22","10","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
"23","temp","23","10","CREATE","Tạo dữ liệu kiểm thử","","","2026-07-20 01:57:49"
