id,report_type,report_id,changed_by,field_name,old_value,new_value,reason,created_at
"1","temp","270002","2","work_date","2026-07-22 00:00:00.000","2026-07-22","","2026-07-22 02:43:22"
"2","temp","270002","2","total_time","11.000","11","","2026-07-22 02:43:22"
"3","temp","270002","2","actual_time","11.000","8","","2026-07-22 02:43:23"
"4","temp","270002","2","deduction_time","0.000","3","","2026-07-22 02:43:23"
"5","temp","270002","2","standard_output","1440.00","1440","","2026-07-22 02:43:25"
"6","temp","270002","2","actual_output","13000","13005","","2026-07-22 02:43:28"
"7","temp","270002","2","tt_ng","0","5","","2026-07-22 02:43:31"
"8","temp","270002","2","deductions","Chi tiết cũ","[{""deduction_type_id"":8,""hours"":2},{""deduction_type_id"":13,""hours"":1}]","","2026-07-22 02:43:33"
"9","temp","270002","2","defects","Chi tiết cũ","[{""defect_type_id"":2,""quantity"":3},{""defect_type_id"":3,""quantity"":1},{""defect_type_id"":4,""quantity"":1}]","","2026-07-22 02:43:34"
"30001","temp","330005","2","work_date","2026-07-23 00:00:00.000","2026-07-23","","2026-07-24 06:41:04"
"30002","temp","330005","2","total_time","8.667","8.67","","2026-07-24 06:41:05"
"30003","temp","330005","2","actual_time","7.000","7.84","","2026-07-24 06:41:05"
"30004","temp","330005","2","deduction_time","1.667","0.83","","2026-07-24 06:41:05"
"30005","temp","330005","2","standard_output","660.00","660","","2026-07-24 06:41:09"
"30006","temp","330005","2","actual_output","4000","4216","","2026-07-24 06:41:12"
"30007","temp","330005","2","tt_ng","0","216","","2026-07-24 06:41:15"
"30008","temp","330005","2","deductions","Chi tiết cũ","[{""deduction_type_id"":12,""hours"":0.83}]","","2026-07-24 06:41:16"
"30009","temp","330005","2","defects","Chi tiết cũ","[{""defect_type_id"":30009,""quantity"":216}]","","2026-07-24 06:41:17"
